main_class,sub_class,count
A61K,38/02,3
B29C,44/36,3
C07D,307/87,3
B29C,70/04,3
B64C,1/00,3
B01D,5/00,3
F16L,11/10,3
C07K,19/00,3
C09D,181/00,3
C07D,307/12,3
B29D,7/01,3
C09J,123/16,3
A61L,15/24,3
G06F,19/00,3
A01N,1/02,3
C11D,17/06,3
C08F,8/08,3
A43B,23/02,3
A43B,1/04,3
B41M,1/26,3
C07C,47/21,3
A61P,3/08,3
B60J,5/04,3
A61B,17/15,3
B29C,51/12,3
A23G,4/06,3
A61K,47/64,3
C07D,307/91,3
C08F,136/20,3
C23C,22/36,3
C08F,18/08,3
C08G,2/28,3
C11D,7/26,3
C11D,7/32,3
H04N,9/07,3
C10L,1/198,3
C09J,109/02,3
C08G,18/82,3
B29C,64/386,3
B24D,11/02,3
B29C,43/22,3
B29C,59/00,3
F16L,55/165,3
C01F,17/00,3
A61K,31/415,3
C23C,16/40,3
C07C,69/52,3
A61F,5/56,3
C07C,233/09,3
H01M,4/485,3
C02F,3/32,3
C07C,31/34,3
B01D,15/38,3
C08F,299/04,3
H01G,4/18,3
A61K,9/19,3
C07D,497/10,3
C10M,143/10,3
C12Q,1/06,3
C12Q,1/10,3
A61F,2/38,3
A01N,25/24,3
G02B,7/182,3
A61K,31/55,3
C07C,271/08,3
C07C,41/03,3
D01F,9/22,3
A61L,29/12,3
C09C,1/02,3
C08F,4/38,3
F21Y,101/02,3
F21Y,103/00,3
F21Y,105/00,3
B32B,21/10,3
B29C,45/73,3
C07C,269/04,3
C25D,5/50,3
C08G,10/04,3
A61L,27/58,3
G02B,3/08,3
A61K,31/4045,3
C25B,9/00,3
C09D,105/00,3
C07H,15/04,3
C09D,7/41,3
A61M,39/00,3
C10M,159/00,3
F25J,1/00,3
A61K,31/27,3
C07C,319/18,3
C07C,69/612,3
C11D,1/44,3
H02K,15/02,3
C08K,3/01,3
A61K,6/889,3
A61K,6/61,3
A61K,6/64,3
A61K,6/77,3
A61K,6/833,3
A61K,6/40,3
C04B,28/28,3
C07H,15/256,3
A23C,21/08,3
F25B,41/00,3
C09J,179/02,3
H01B,3/52,3
B29C,45/26,3
B29C,47/08,3
C07D,309/40,3
B27K,5/06,3
C23C,14/14,3
C09B,29/20,3
B41J,19/20,3
B41J,25/304,3
B41J,25/308,3
E06B,5/10,2
C01B,37/00,2
B32B,23/20,2
B01D,1/06,2
C25D,9/08,2
B32B,9/02,2
C07C,251/76,2
C01B,33/145,2
C40B,30/02,2
G01N,33/15,2
G06F,19/16,2
C08F,120/28,2
C08F,275/00,2
B22C,1/00,2
B22C,9/02,2
B22F,9/24,2
H01L,41/00,2
C08L,27/22,2
C10L,1/189,2
C10L,1/223,2
F16K,7/04,2
C07D,235/08,2
C07D,251/14,2
G02B,6/036,2
C09D,123/18,2
C09J,183/07,2
B01J,27/053,2
C01B,31/28,2
B27N,1/02,2
G01N,33/36,2
A61M,31/00,2
B01F,17/56,2
C04B,24/24,2
C08G,65/14,2
C14C,3/30,2
D06P,1/96,2
D06P,7/00,2
C08J,3/11,2
B29B,7/46,2
C09D,101/10,2
B29L,23/00,2
C07C,201/08,2
E04B,1/62,2
C07C,279/04,2
A61B,1/12,2
G07D,7/20,2
C07C,69/18,2
A61K,47/04,2
A62B,18/02,2
C07B,41/06,2
C07F,9/146,2
C07C,323/65,2
E04B,1/84,2
C07C,59/84,2
C07C,279/26,2
C08G,59/60,2
H02S,40/34,2
C11D,3/42,2
C09K,19/10,2
A61K,31/7016,2
B01D,69/06,2
C07B,63/00,2
H02G,1/14,2
C09C,1/46,2
C09C,1/44,2
C08G,77/34,2
C07C,209/48,2
C08F,16/12,2
C07D,221/18,2
H01F,38/14,2
H01F,27/28,2
C10L,1/182,2
C23C,30/00,2
A61P,21/00,2
C08C,1/15,2
D06M,15/267,2
D06M,15/27,2
D06M,15/285,2
D06M,15/347,2
D06M,10/02,2
H01B,1/04,2
C40B,30/04,2
C12P,19/04,2
C07C,41/16,2
A61K,39/145,2
C04B,26/10,2
D06M,15/233,2
D06M,101/34,2
F21V,9/00,2
B65D,65/38,2
C09D,125/00,2
C01G,9/00,2
B01D,71/76,2
C08J,9/34,2
C07C,43/04,2
C07C,243/28,2
A61K,31/166,2
C08G,8/02,2
C07C,309/66,2
C07K,14/72,2
H01B,3/02,2
C07C,209/72,2
B01J,41/04,2
B01J,49/00,2
A61B,90/00,2
B23K,26/00,2
B01D,71/08,2
C07D,301/02,2
C09D,123/04,2
C09D,123/10,2
A01N,41/10,2
C08F,8/48,2
C12R,1/145,2
B60L,11/18,2
A61K,31/439,2
C07C,2/66,2
A61K,31/712,2
C08G,67/02,2
A62D,3/02,2
A61K,36/82,2
G02F,1/161,2
B32B,3/08,2
C07H,3/02,2
F01D,5/28,2
C10M,143/12,2
C10M,133/22,2
C09B,48/00,2
C08J,3/18,2
C08L,45/02,2
H02G,5/06,2
H01J,37/20,2
G01N,21/59,2
B32B,27/24,2
C03C,17/42,2
B05D,1/28,2
H01M,2/12,2
G01N,25/72,2
C12P,7/24,2
C12P,7/66,2
F16J,15/08,2
C09J,161/18,2
C08B,1/10,2
B01J,2/06,2
C04B,28/10,2
C04B,28/16,2
C04B,26/00,2
C04B,111/27,2
C07C,29/80,2
B01D,1/00,2
C09K,8/467,2
A47L,13/17,2
B29C,35/04,2
D06M,15/256,2
D04B,21/16,2
A61K,36/899,2
A61K,36/8998,2
C09D,161/32,2
C08G,12/42,2
C08G,18/74,2
C07C,7/20,2
C04B,35/626,2
C08F,220/22,2
C08F,218/16,2
A61K,31/7076,2
C10M,135/28,2
C10M,135/34,2
C08K,5/35,2
B29K,81/00,2
D06M,15/21,2
G11B,7/254,2
F16L,11/00,2
C08K,5/59,2
B29C,44/38,2
A61K,31/225,2
C07C,69/63,2
C09D,181/06,2
C08F,16/38,2
C07D,209/18,2
D01F,6/84,2
C08F,210/08,2
A23L,2/58,2
A23L,5/40,2
A23L,5/41,2
C09D,101/08,2
C08F,290/08,2
C08C,19/34,2
C08G,67/04,2
A61K,35/60,2
C04B,26/08,2
C08G,63/44,2
C07C,217/30,2
C25D,13/18,2
A61K,33/18,2
B65D,53/02,2
B24D,3/34,2
C08G,77/385,2
C07C,57/04,2
C04B,24/02,2
B29L,31/50,2
C09D,177/02,2
F16L,57/06,2
A01N,61/00,2
C08L,93/00,2
D06M,101/36,2
B62D,25/24,2
B29C,73/10,2
G02B,5/04,2
A61Q,7/02,2
A61P,17/14,2
A61K,31/194,2
C07K,14/00,2
C07C,209/68,2
C07C,213/06,2
C07D,235/18,2
A61K,31/4436,2
B65D,21/08,2
C12P,19/14,2
A61K,36/38,2
A61K,36/62,2
H01M,8/0239,2
A61K,31/341,2
A61F,5/01,2
C10M,149/00,2
C07C,235/50,2
C09D,171/08,2
C08G,65/12,2
C12N,11/14,2
C07D,301/16,2
A61B,5/055,2
A61B,6/04,2
C08J,5/20,2
C07F,17/02,2
A61K,31/7135,2
H01F,1/375,2
A61K,8/38,2
E06B,5/16,2
B41M,7/02,2
C09K,8/56,2
D06M,10/06,2
D21C,9/00,2
C09D,9/00,2
A47C,31/00,2
B65D,17/00,2
A61Q,3/04,2
C07D,491/052,2
C08L,9/10,2
B32B,19/00,2
B32B,29/02,2
C09J,109/04,2
A61C,7/12,2
C07C,7/12,2
C10G,33/04,2
A23C,9/133,2
C08G,16/00,2
B41N,1/22,2
B41C,1/045,2
B41C,1/18,2
C07C,69/44,2
H01L,23/498,2
B32B,25/20,2
G03G,15/20,2
B22F,9/30,2
D07B,1/16,2
C12P,7/52,2
D02G,3/04,2
D03D,1/00,2
D04B,21/00,2
C07D,239/10,2
E04B,1/68,2
C10M,133/42,2
A61K,35/39,2
B29C,44/10,2
C07K,5/103,2
C09J,197/00,2
C10M,105/50,2
C12N,1/19,2
C12N,1/15,2
C12N,1/13,2
B03C,3/28,2
B01J,29/74,2
C04B,18/14,2
C07C,7/10,2
A61F,13/534,2
C22C,9/06,2
C02F,101/10,2
C02F,101/30,2
C02F,101/36,2
A61K,31/08,2
C07C,215/14,2
C04B,14/10,2
C04B,14/12,2
C04B,14/14,2
C04B,14/16,2
C04B,14/18,2
C04B,14/20,2
C04B,14/22,2
C04B,14/24,2
A61C,5/04,2
C07C,41/09,2
B24D,3/14,2
C03C,15/00,2
B29K,9/00,2
B29K,55/02,2
C04B,22/00,2
G02B,6/122,2
C07C,213/00,2
C07C,217/42,2
C07D,219/10,2
D21H,17/67,2
C08F,251/02,2
C23C,22/80,2
C08L,85/00,2
C08K,5/44,2
G10K,11/162,2
F25D,29/00,2
B29C,71/02,2
C08G,12/02,2
C07C,67/54,2
H01F,41/02,2
E04F,13/00,2
C09J,161/00,2
H01L,23/26,2
C07D,403/10,2
B29C,53/60,2
G02F,1/017,2
B44C,3/12,2
B44C,1/28,2
E04F,15/16,2
E04F,15/08,2
C07H,17/02,2
D04H,1/544,2
D04H,1/56,2
B05B,7/24,2
D21H,19/16,2
D21H,19/24,2
C09D,161/04,2
C01B,32/80,2
C07C,43/285,2
H01M,10/056,2
C09D,157/08,2
C09D,7/14,2
C07C,29/09,2
A01K,1/015,2
D04H,5/06,2
C08G,77/395,2
C07C,323/09,2
C08J,9/236,2
C09G,3/00,2
C07C,269/06,2
B01F,5/04,2
B01F,13/10,2
A23C,9/152,2
B29C,33/62,2
A61C,5/73,2
D04H,1/60,2
C10M,105/48,2
A61F,2/962,2
C08G,63/58,2
A47J,47/02,2
B29C,70/70,2
C10L,1/10,2
C08B,31/08,2
A61C,5/77,2
C07D,213/59,2
C07D,265/32,2
C07D,277/54,2
C07D,291/02,2
C07C,309/30,2
C10M,135/02,2
C07D,495/02,2
C07C,69/92,2
H01F,38/12,2
H01F,41/12,2
C11C,3/04,2
C07D,207/16,2
C09J,103/02,2
C08L,99/00,2
B01J,23/18,2
C09K,15/18,2
A61M,39/28,2
F16K,7/06,2
B01D,65/00,2
A23L,3/3472,2
C08K,5/136,2
C07D,491/048,2
C14C,15/00,2
F16L,58/00,2
C08C,1/02,2
C07C,265/04,2
C07C,51/64,2
C10M,129/32,2
A61M,15/00,2
A61M,15/06,2
A61M,16/20,2
A61F,13/08,2
A44B,18/00,2
A01N,33/04,2
C07D,403/04,2
A61K,31/454,2
C08F,2/54,2
C09D,125/14,2
C08F,22/14,2
B32B,3/06,2
B32B,3/16,2
C07C,317/36,2
C07D,307/42,2
D04H,1/58,2
H01M,4/96,2
C23C,16/27,2
D06M,13/282,2
H01L,41/45,2
B65D,85/86,2
C08F,220/02,2
B01J,20/20,2
C08K,5/15,2
C02F,1/56,2
C02F,103/00,2
B29C,65/70,2
A61K,31/573,2
A61K,31/7034,2
C07C,309/06,2
C25D,5/54,2
C08G,73/18,2
B42D,25/364,2
H01B,7/04,2
C08G,14/00,2
A61K,9/12,2
C12N,9/18,2
C07D,207/404,2
B65D,1/40,2
A61K,31/198,2
C07C,1/00,2
C10M,105/08,2
C10M,107/20,2
C10M,145/00,2
B32B,27/02,2
C07C,309/32,2
C07C,309/42,2
C07C,309/44,2
C07C,309/58,2
C08F,226/04,2
C25D,11/00,2
C09J,107/00,2
C25D,11/02,2
C11D,1/06,2
G01N,21/41,2
C08F,30/02,2
C07D,335/00,2
A61K,31/728,2
A61K,31/738,2
C07D,233/02,2
C07C,49/203,2
C11D,3/28,2
C08F,14/00,2
C07C,51/09,2
B01D,11/00,2
B29C,41/12,2
A43B,13/14,2
B29C,44/08,2
C25B,1/16,2
C06B,21/00,2
C07C,271/30,2
F16J,9/26,2
C08G,75/08,2
C07C,45/50,2
C09D,15/00,2
C08F,220/70,2
C08F,222/02,2
C08L,29/02,2
D01F,9/00,2
F04B,39/00,2
C07C,39/235,2
H01J,49/04,2
H01J,49/26,2
C11D,3/33,2
G01D,21/00,2
G03G,21/18,2
C10N,10/14,2
C07F,5/06,2
C07F,9/44,2
C09C,3/00,2
A61K,31/47,2
C07D,213/75,2
C07D,207/273,2
C07D,209/52,2
C07D,209/36,2
A61F,5/445,2
D01D,5/04,2
F16G,1/14,2
G01J,3/02,2
C10M,129/95,2
B42D,25/351,2
G02B,27/22,2
C40B,20/04,2
C40B,40/06,2
C07H,19/20,2
C07C,57/02,2
C01G,23/04,2
C01B,4/00,2
C01B,5/02,2
C09D,131/06,2
C07H,13/06,2
C25D,13/08,2
C25D,13/14,2
B29C,43/52,2
B29C,43/56,2
C23C,18/31,2
C23C,18/38,2
B64C,1/12,2
C07C,13/72,2
C08F,220/16,2
D04H,1/50,2
C07D,239/52,2
C08K,5/405,2
C07C,309/14,2
A61L,2/18,2
A01N,25/06,2
A01N,43/30,2
A61K,31/721,2
C09K,19/24,2
A62D,3/37,2
C07C,69/84,2
C07D,311/72,2
C14C,11/00,2
A62D,101/43,2
C07H,21/02,2
B01J,38/70,2
B01J,23/96,2
B05D,1/32,2
C01B,32/182,2
C08F,20/14,2
E04F,15/02,2
A61K,36/31,2
A61K,31/4422,2
C08F,12/24,2
E21B,43/34,2
F25D,23/06,2
D06M,101/28,2
B60K,15/01,2
C10M,105/78,2
B60C,11/03,2
F16F,7/12,2
F16F,7/00,2
C10L,10/10,2
C09D,123/06,2
C10M,103/00,2
C10M,103/02,2
C07C,43/10,2
G01N,1/26,2
C07C,57/03,2
C07C,57/12,2
D06M,13/00,2
B01D,71/26,2
C07D,493/14,2
C07D,513/14,2
H01L,31/18,2
G01N,33/26,2
C07C,69/653,2
C08F,222/20,2
A61M,16/06,2
C12P,17/06,2
D21H,15/02,2
B01J,32/00,2
H01L,33/48,2
A61K,31/201,2
C22C,13/00,2
H01L,21/3065,2
C07D,295/185,2
C08J,11/12,2
C09J,101/26,2
C09K,8/504,2
C09K,8/502,2
C07C,255/51,2
C10M,105/68,2
C09K,15/06,2
C07C,323/62,2
C07C,37/11,2
G01N,30/26,2
H05K,5/00,2
A01N,65/26,2
A61K,31/20,2
C07D,211/58,2
C08F,8/26,2
B32B,43/00,2
D21H,19/38,2
C07C,309/23,2
C11D,1/02,2
C12N,9/52,2
F17C,1/06,2
C09B,33/12,2
B01J,21/08,2
B01J,23/52,2
B41J,2/045,2
A23L,3/349,2
C01G,45/00,2
C01G,51/00,2
D06M,13/13,2
D06M,13/355,2
D06M,13/358,2
D06M,15/65,2
D04C,1/12,2
D07B,1/02,2
D07B,1/14,2
C08G,77/452,2
C08G,59/12,2
A23L,1/221,2
G01N,30/72,2
G06F,19/10,2
D04H,1/54,2
C08L,35/04,2
C03C,27/04,2
C07F,19/00,2
F24J,2/38,2
C07F,15/02,2
H01L,41/08,2
C08F,20/04,2
C11C,3/10,2
A61K,31/4174,2
C08B,1/06,2
C08B,11/08,2
C08L,57/08,2
C08F,220/68,2
E04F,15/12,2
C07C,233/25,2
F16L,11/06,2
C08K,5/5337,2
C07D,301/24,2
B29K,105/22,2
C02F,1/68,2
C08F,8/18,2
A61B,17/115,2
C23C,22/78,2
H01C,7/00,2
F16D,69/04,2
C07C,31/30,2
B01D,71/70,2
C07C,217/08,2
C08F,8/34,2
C07H,1/08,2
C07C,59/48,2
C07C,59/64,2
C08G,8/34,2
C09K,17/00,2
C07C,271/14,2
B41M,5/025,2
C07C,309/75,2
A61B,5/157,2
B29C,70/10,2
C08F,251/00,2
C08F,253/00,2
C08L,51/02,2
B01D,65/08,2
C10M,107/28,2
C09J,161/20,2
B32B,21/00,2
C07C,45/86,2
A61K,31/4184,2
A61P,7/00,2
C25D,9/10,2
A61J,9/00,2
A61J,11/04,2
C07D,301/26,2
C07D,303/16,2
C12Q,1/25,2
A61K,31/57,2
B05D,5/12,2
A61K,31/055,2
A61K,31/122,2
A61K,33/24,2
C09K,8/575,2
E04D,5/06,2
A01N,43/707,2
C07C,235/74,2
C07C,235/82,2
C09J,127/12,2
C12P,1/00,2
C21D,9/46,2
C22C,38/06,2
A61K,31/52,2
C07D,407/06,2
G02B,21/34,2
H01G,9/012,2
C08G,77/56,2
B32B,15/01,2
D06M,13/44,2
C07D,307/62,2
A61K,31/555,2
B32B,5/14,2
B44C,5/00,2
C10M,117/00,2
C07F,9/48,2
C07C,291/02,2
A61K,31/7105,2
C09D,191/06,2
E21B,33/138,2
B65D,81/34,2
A61K,36/18,2
C07C,217/54,2
C07B,51/00,2
C07C,67/48,2
G01L,5/00,2
C07C,323/38,2
C09D,7/06,2
D06M,23/12,2
C08C,19/38,2
C07D,239/94,2
C07C,211/02,2
E21B,36/00,2
C09G,1/02,2
C09G,1/00,2
C07D,319/12,2
C07D,241/44,2
C03C,25/26,2
D02J,13/00,2
C07C,303/02,2
C07C,309/39,2
C07D,209/00,2
B01J,19/10,2
G01N,33/533,2
G01N,33/542,2
H01M,10/0568,2
C07C,265/12,2
C07C,51/15,2
B01J,41/20,2
C07K,17/06,2
H01M,10/0569,2
C07H,13/00,2
A61K,36/076,2
C07C,69/593,2
G09F,15/02,2
C04B,41/71,2
C08F,246/00,2
C04B,16/04,2
H01Q,1/42,2
C08C,1/12,2
C08F,6/10,2
H01M,4/60,2
B01D,9/00,2
C08J,9/22,2
C23C,22/40,2
C09J,167/08,2
C07C,235/16,2
C07C,251/48,2
A61K,31/277,2
B29K,27/18,2
C07C,55/14,2
A61C,1/00,2
A01N,37/34,2
C08G,77/30,2
C08F,297/08,2
B01J,31/00,2
C05C,9/00,2
B05B,15/12,2
A61P,1/02,2
C09B,17/00,2
C09B,19/00,2
C09B,21/00,2
C09B,23/04,2
C09B,23/06,2
C09B,55/00,2
B29C,41/18,2
A61K,9/113,2
C10N,40/36,2
C08K,3/12,2
A61L,15/32,2
F16H,57/04,2
A01N,47/12,2
C09J,157/02,2
G03C,1/735,2
C07D,207/335,2
E04C,2/20,2
C07C,31/36,2
C07C,29/62,2
C07D,471/14,2
A61P,31/20,2
C23C,28/02,2
C07D,251/68,2
D06M,15/513,2
C11C,1/08,2
C08F,222/00,2
G09B,23/30,2
C09K,8/92,2
G01N,25/18,2
G01N,33/531,2
F16F,9/32,2
C08F,220/04,2
C08F,218/02,2
C10G,1/10,2
C07C,315/04,2
G02B,6/13,2
A61K,33/22,2
A61K,31/69,2
C09D,139/04,2
A23D,9/04,2
C07H,19/073,2
D01F,6/00,2
D21C,11/00,2
G01S,7/481,2
A61K,31/733,2
C08G,77/382,2
G01N,37/00,2
A61M,1/06,2
C07D,333/54,2
C07D,333/56,2
C08F,126/06,2
C07D,317/22,2
C11B,1/10,2
A61K,31/155,2
C07C,319/12,2
C08G,12/40,2
C09D,165/02,2
E04F,15/10,2
B01D,53/58,2
G01N,15/10,2
C07D,207/08,2
C07D,471/10,2
C08F,18/24,2
C07D,333/64,2
C07D,409/02,2
B01J,13/10,2
F16L,13/02,2
A24F,47/00,2
G21K,1/14,2
G21K,1/00,2
H05H,7/08,2
G01N,21/85,2
C07C,67/58,2
C08F,8/06,2
C07J,17/00,2
A23L,3/00,2
A01G,33/00,2
C12N,15/64,2
C08B,3/10,2
C04B,41/49,2
C10M,129/78,2
C10N,40/14,2
C07C,69/734,2
C12N,9/20,2
C07C,291/06,2
C25B,3/00,2
C25D,9/00,2
C25D,15/02,2
C08F,279/06,2
H01M,8/1027,2
H01M,8/103,2
C07F,9/10,2
H01M,8/0228,2
C07D,303/36,2
G02B,27/02,2
B07C,5/342,2
G01J,3/44,2
A61K,47/58,2
A61K,47/69,2
H01G,11/38,2
H01G,11/86,2
C09D,11/08,2
F21V,29/87,2
C08K,5/1525,2
C08F,2/16,2
B01J,23/745,2
B01D,71/28,2
B41J,2/17,2
C08G,69/16,2
G02B,7/12,2
D01F,6/46,2
C07C,37/00,2
C07D,279/20,2
C07D,401/02,2
A41G,3/00,2
C09J,129/14,2
B29B,13/08,2
D21H,21/30,2
B42D,25/30,2
B42D,25/387,2
H05K,3/20,2
H05K,3/22,2
F21V,5/02,2
C10M,105/26,2
C10M,129/34,2
C10M,129/42,2
A23L,29/10,2
B41J,2/06,2
G03G,9/135,2
C08G,2/06,2
C10M,159/08,2
B29B,7/32,2
D06M,14/36,2
C12N,15/115,2
C07C,233/38,2
C07D,295/037,2
C01B,25/32,2
C10N,40/34,2
A47K,10/16,2
B31F,1/07,2
C09D,101/02,2
D21H,27/40,2
A61M,5/34,2
D21H,21/40,2
G03C,7/02,2
H01G,9/00,2
C08F,120/58,2
G01N,17/00,2
A23L,27/10,2
C08G,63/133,2
A61K,36/24,2
H01L,33/06,2
B29D,35/14,2
C07C,215/50,2
C02F,103/08,2
C09K,15/00,2
B29C,65/52,2
C08F,12/36,2
G01N,31/16,2
E01C,7/30,2
B22F,3/00,2
B22F,3/10,2
A61K,31/191,2
A61P,13/00,2
B41M,5/385,2
H01M,4/1391,2
H01M,4/1397,2
C07C,229/60,2
C07C,233/20,2
C07C,255/42,2
H01F,3/02,2
C07C,235/06,2
C08F,4/68,2
C09B,67/54,2
C12P,7/04,2
B29C,64/209,2
C07C,243/40,2
C07C,281/02,2
C07C,323/60,2
B65D,75/30,2
C08G,59/48,2
C07K,14/605,2
C08K,13/00,2
A61P,31/12,2
A61P,17/12,2
G01N,27/333,2
C04B,7/00,2
H05K,3/02,2
A61K,38/47,2
B29C,44/32,2
B29B,7/42,2
C09J,101/02,2
B29C,65/20,2
G06K,19/077,2
G03C,1/00,2
C07C,37/14,2
C08G,65/42,2
C04B,35/14,2
H01R,13/46,2
B32B,3/24,2
B01D,71/18,2
B60C,9/04,2
B29C,43/36,2
B29C,33/68,2
D04H,1/728,2
A61P,27/12,2
A61P,39/02,2
B32B,37/26,2
C12Q,1/6886,2
H02G,3/04,2
B29C,44/46,2
D21H,13/50,2
H01M,10/613,2
C07D,251/30,2
G03F,7/36,2
B29C,65/06,2
C01G,25/02,2
C04B,35/64,2
C08F,4/02,2
B32B,15/02,2
C07J,43/00,2
C09J,171/10,2
C08L,1/04,2
C07K,5/10,2
B01D,15/32,2
G06F,19/26,2
C12Q,1/6806,2
G01N,29/24,2
C09J,159/00,2
A61N,1/05,2
H02K,3/34,2
C12Q,1/6883,2
C07D,265/38,2
H01F,27/02,2
F25B,45/00,2
C08F,4/605,2
A01N,47/24,2
A61K,31/417,2
C07C,201/12,2
C07C,39/23,2
C01G,41/00,2
G01N,21/33,2
G01N,21/55,2
A61K,31/424,2
C07C,37/78,2
B01D,3/32,2
F16F,1/02,2
C07C,33/36,2
G02B,1/08,2
C10M,119/22,2
G01N,21/47,2
H01Q,1/38,2
H01Q,1/48,2
C07D,317/40,2
C09D,125/08,2
G01N,33/04,2
C07F,5/00,2
C07D,333/76,2
B42D,25/23,2
C07D,203/08,2
A61K,31/535,2
A61K,31/396,2
A01N,31/16,2
A01N,43/16,2
C03C,13/02,2
B01D,53/81,2
C07C,37/70,2
C08G,75/12,2
C07D,235/06,2
A61J,1/14,2
B62D,25/00,2
C07F,9/34,2
C07D,261/08,2
C07H,13/04,2
A61K,31/42,2
A44B,1/02,2
C10M,127/04,2
C07B,57/00,2
C07C,311/47,2
A61K,35/12,2
H01L,51/54,2
C08G,59/52,2
D06M,15/61,2
D06M,10/10,2
B65D,51/00,2
H05K,5/02,2
E01C,7/26,2
G02B,1/116,2
C09J,4/04,2
A61P,25/30,2
C08G,75/0259,2
F16G,5/20,2
A61K,36/9068,2
C09D,7/42,2
B32B,23/00,2
B29C,44/02,2
H01L,51/56,2
B29C,47/04,2
H01G,9/042,2
A24D,3/06,2
C07C,211/12,2
C07C,209/16,2
C07C,31/22,2
A61L,33/06,2
C12N,5/0735,2
A61K,35/54,2
C07D,317/26,2
C07D,225/02,2
C09J,109/08,2
C07C,11/06,2
C08J,11/14,2
A61K,35/741,2
C08G,71/00,2
C08L,61/16,2
G01N,21/31,2
C09J,123/12,2
H01B,3/22,2
C08F,6/08,2
C07D,207/452,2
H05K,3/24,2
B05D,3/08,2
C09J,125/10,2
C08L,23/24,2
A47L,13/16,2
B29C,65/02,2
C05G,5/00,2
E04B,2/74,2
F16H,55/06,2
C07D,498/10,2
C08K,3/105,2
A43B,9/02,2
A43B,13/02,2
B29D,35/06,2
D04H,1/435,2
C12N,5/02,2
A23G,1/00,2
C09K,11/89,2
B41M,5/32,2
C10M,123/04,2
C01B,33/158,2
A61K,35/28,2
A61K,35/32,2
A61B,17/17,2
F16J,15/00,2
G10K,11/172,2
A01N,47/40,2
A01N,51/00,2
B29K,105/00,2
H01G,4/00,2
C07D,409/10,2
B01J,23/75,2
C01B,33/44,2
C09C,1/42,2
H01L,21/67,2
C08J,9/35,2
C07C,13/567,2
C07D,491/04,2
E04F,13/06,2
A61K,31/357,2
C07D,309/32,2
A61K,41/00,2
G01N,1/02,2
C23C,22/73,2
C07D,307/88,2
H01L,31/0392,2
B29C,47/42,2
C11D,3/34,2
B60C,7/10,2
C07C,69/75,2
H04N,5/369,2
A61C,13/01,2
C23F,11/08,2
C07D,239/62,2
H01P,11/00,2
C08K,5/5373,2
C10L,1/196,2
C10L,1/236,2
C08F,20/32,2
A45D,33/00,2
F02M,35/10,2
C09D,161/10,2
C08J,9/33,2
G01N,30/74,2
B65D,81/00,2
C08F,18/14,2
B01D,39/14,2
H01L,21/302,2
A23L,2/54,2
C01B,32/00,2
G02F,1/061,2
B05D,7/26,2
C09K,8/473,2
H01M,8/0286,2
C08F,255/04,2
C08F,212/12,2
B22F,7/00,2
B29C,70/60,2
C01D,3/06,2
C01D,3/08,2
C07C,209/78,2
C25B,13/08,2
H01M,4/1393,2
G01N,27/447,2
C09D,157/04,2
C09D,157/06,2
C01B,32/19,2
C08F,20/22,2
B32B,3/10,2
B01D,19/00,2
A45D,44/00,2
C09J,181/04,2
A61K,8/9783,2
C08L,1/14,2
C23C,14/06,2
D06M,13/328,2
C23C,16/52,2
G01N,15/08,2
G03G,7/00,2
B29C,47/70,2
C07C,69/602,2
G02F,1/1362,2
B29C,55/16,2
C01G,1/02,2
A23K,1/175,2
C11B,7/00,2
B41M,5/36,2
B01J,19/12,2
C10M,101/00,2
G04B,45/00,2
B01J,29/08,2
C07D,493/02,2
C09J,193/00,2
C09J,135/02,2
C09D,5/12,2
A61K,31/4427,2
C08H,1/06,2
B29C,55/08,2
C08L,3/10,2
C07D,213/70,2
C07D,295/08,2
A23F,3/40,2
A23L,1/222,2
C03C,27/00,2
C07C,39/12,2
C02F,1/04,2
A61K,31/538,2
C11C,5/00,2
H01G,4/12,2
B29C,41/06,2
G21K,4/00,2
C07C,305/26,2
G02B,7/198,2
H01R,43/00,2
C01B,3/38,2
C01B,3/50,2
C01B,3/56,2
A61K,31/075,2
C07D,211/96,2
G03G,21/10,2
C07C,271/34,2
C07C,271/36,2
C07C,271/38,2
H01H,9/02,2
C07D,271/06,2
C07D,333/16,2
C07K,11/02,2
C10M,135/26,2
D01F,11/06,2
B22F,7/06,2
A61K,31/164,2
H01L,21/18,2
G08B,21/20,2
C08F,289/00,2
C07C,311/29,2
C07C,51/377,2
B29C,49/06,2
C08F,218/04,2
B01J,39/26,2
C09F,9/00,2
B29C,43/24,2
C11D,1/835,2
C10M,117/04,2
A61K,8/896,2
C04B,20/00,2
C08K,5/5377,2
A43B,1/00,2
E01C,13/08,2
C07D,213/74,2
H01L,21/768,2
C10M,157/06,2
H01B,17/62,2
G01T,1/203,2
C08G,63/698,2
C08C,19/00,2
C09K,8/46,2
E21B,33/14,2
C07C,43/13,2
B29C,70/18,2
B29K,303/06,2
B29K,303/08,2
B29K,503/06,2
C23C,14/56,2
C12Q,1/56,2
G01N,33/86,2
C08L,67/07,2
D06M,23/04,2
E21B,49/00,2
C01B,31/00,2
A01N,63/02,2
A61K,38/44,2
C07C,271/58,2
B29C,47/36,2
H01R,43/02,2
H05K,1/14,2
C07C,309/17,2
H01B,5/02,2
C09F,7/00,2
C07C,229/00,2
A61C,7/16,2
A61K,38/28,2
B29C,39/38,2
B60C,17/00,2
A61K,31/4468,2
B43K,19/00,2
